data,blur,noise,image_index,ref_self_gap_50k_100k,old_fbhf4000_gap_to_ref,last_pdhg_rel_step,fixed_minus_learned_absdiff,fixed_better_than_learned,learned_better_than_fixed,cv_better_than_learned,ref_steps,ref_time_s
real,train,train,0,1.8015693967754487e-06,9.895955008687451e-05,3.9217415093162344e-08,2.394861076027155e-05,0,1,1,100000,78.293049544096
real,train,train,1,9.88322199191316e-07,5.051509651821107e-05,8.240281346161282e-08,0.00015845123562030494,0,1,1,100000,78.293049544096
real,train,train,2,1.06666038846015e-06,8.196773706004024e-05,6.821537823498147e-08,1.1639567674137652e-05,1,0,1,100000,78.293049544096
real,train,train,3,4.319697950450063e-07,2.3346110538113862e-05,5.2365130898124335e-08,4.892321885563433e-05,0,1,1,100000,78.293049544096
real,train,train,4,6.988572067712084e-07,1.486131895944709e-05,9.326900851647224e-08,4.1280822188127786e-05,0,1,1,100000,78.293049544096
real,train,train,5,1.658205746934982e-06,4.123059261473827e-05,9.30972916535211e-08,0.00012647348921746016,0,1,1,100000,78.293049544096
real,train,train,6,1.4061300817047595e-06,2.7059144485974684e-05,1.1422630308288717e-07,0.0002279820037074387,0,1,1,100000,78.293049544096
real,train,train,7,2.109559545715456e-06,0.0011467811418697238,6.92326125317777e-08,0.00010196759831160307,0,1,0,100000,78.293049544096
real,train,train,8,8.679037364345277e-07,2.359071368118748e-05,6.106502326019836e-08,6.836093962192535e-05,0,1,1,100000,78.293049544096
real,train,train,9,1.1754523256968241e-06,0.00012334049097262323,9.439981596415237e-08,6.774223584216088e-05,0,1,1,100000,78.293049544096
real,train,train,10,1.1750886415029527e-06,5.6775443226797506e-05,7.439811611220648e-08,4.22675657318905e-05,0,1,1,100000,78.293049544096
real,train,train,11,8.214144031626347e-07,0.0002234724088339135,4.28181330391908e-08,0.00011139336857013404,1,0,1,100000,78.293049544096
real,train,train,12,1.5759840152895777e-06,3.7335092201828957e-05,8.678909324544293e-08,0.00012949133815709502,0,1,1,100000,78.293049544096
real,train,train,13,1.2026264357700711e-06,0.00015705262194387615,8.088554892538014e-08,3.2658703275956213e-05,0,1,1,100000,78.293049544096
real,train,train,14,2.5400811409781454e-06,3.527813169057481e-05,4.353450577809781e-08,0.0002261451300000772,0,1,1,100000,78.293049544096
real,train,train,15,5.17012495038216e-07,0.00013492474681697786,4.161355704468406e-08,6.37496923445724e-05,0,1,1,100000,78.293049544096
real,train,train,16,1.1054212336603086e-06,8.248803351307288e-05,5.178048567699989e-08,7.403927156701684e-05,0,1,1,100000,78.293049544096
real,train,train,17,1.4061510000829003e-06,2.3856675397837535e-05,5.8624813448204804e-08,9.399445116287097e-05,0,1,1,100000,78.293049544096
real,train,train,18,8.896627150534187e-07,0.00031539794872514904,5.186045015648233e-08,1.5608398825861514e-05,1,0,1,100000,78.293049544096
real,train,train,19,1.0400627843409893e-06,0.0025296066887676716,5.3857686310720965e-08,6.324006244540215e-05,0,1,1,100000,78.293049544096
real,train,train,20,1.1415348808441195e-06,2.1773070329800248e-05,7.022698156333718e-08,5.2747382142115384e-05,0,1,1,100000,78.293049544096
